geolocation_zip_code_prefix,geolocation_lat,geolocation_lng,geolocation_city,geolocation_state
01013,-23.546923208436723,-46.6342636964915,sao paulo,SP
01050,-23.549773516504185,-46.64559900666509,sao paulo,SP
01007,-23.550392524842728,-46.637301640717844,sao paulo,SP
01026,-23.539494799586286,-46.632843914149746,são paulo,SP
01031,-23.536864121011018,-46.63349313820771,sao paulo,SP
01008,-23.54425493154535,-46.634639135589296,sao paulo,SP
01021,-23.54516769470249,-46.632248679583284,sao paulo,SP
01129,-23.5259237463212,-46.642131776011375,sao paulo,SP
01221,-23.54601532944774,-46.649001960038035,sao paulo,SP
01231,-23.5367081559813,-46.6596418411045,sao paulo,SP
01222,-23.547159576461446,-46.64989460560333,são paulo,SP
01228,-23.54839279655493,-46.659018341392965,sao paulo,SP
01212,-23.537511255832708,-46.637057307436756,são paulo,SP
01233,-23.540299470713858,-46.662783605199316,sao paulo,SP
01333,-23.56356993894623,-46.65184216708981,sao paulo,SP
01314,-23.550271219805026,-46.641530430203645,sao paulo,SP
01306,-23.55433380183505,-46.64967363918865,sao paulo,SP
01424,-23.56816235942637,-46.66117892867444,sao paulo,SP
01420,-23.56851813765943,-46.65191532569683,sao paulo,SP
01451,-23.583489065785624,-46.68508055092622,sao paulo,SP
01454,-23.582148872612336,-46.68638063183105,sao paulo,SP
01511,-23.555682314184306,-46.63309991286275,sao paulo,SP
01539,-23.573782561198005,-46.62058066708981,sao paulo,SP
01541,-23.568722298084143,-46.61880092397124,sao paulo,SP
01522,-23.55916467499565,-46.61546691825843,sao paulo,SP
01551,-23.576649380518187,-46.612162325696836,sao paulo,SP
01524,-23.5670455434244,-46.61611199999999,sao paulo,SP
01512,-23.553644898695822,-46.63261889578163,sao paulo,SP
02066,-23.508759080212354,-46.602973042876144,sao paulo,SP
02030,-23.504769581649203,-46.62470303231384,sao paulo,SP
02060,-23.51886128198398,-46.60382280391252,sao paulo,SP
02016,-23.50097763469062,-46.62712333406575,sao paulo,SP
02041,-23.49010232139766,-46.61972998972821,sao paulo,SP
02033,-23.50215379349651,-46.61688101249347,sao paulo,SP
02013,-23.5030857485429,-46.633822941716204,sao paulo,SP
02028,-23.50751845268047,-46.6174707485429,sao paulo,SP
02135,-23.498807971146547,-46.573631134485446,sao paulo,SP
02258,-23.47623536441803,-46.58210664723873,sao paulo,SP
02252,-23.479316999999995,-46.5904340471753,sao paulo,SP
02350,-23.459346031363605,-46.60929309103239,sao paulo,SP
02362,-23.638582820562608,-46.60817566849105,sao paulo,SP
02310,-23.4719444074384,-46.59864459256161,sao paulo,SP
02307,-23.48287504884874,-46.60800472883605,sao paulo,SP
02408,-23.48192669608748,-46.62646540521669,sao paulo,SP
02537,-23.49266694338963,-46.649278230509495,sao paulo,SP
02613,-23.472582799613345,-46.66107383097695,sao paulo,SP
02634,-23.46016520927345,-46.65066418373822,sao paulo,SP
02751,-23.489584790770785,-46.68192027136849,sao paulo,SP
02842,-23.473527475157262,-46.68753138481736,sao paulo,SP
02859,-23.44337350375091,-46.706723413266786,são paulo,SP
02989,-23.429807053203387,-46.7211738556802,sao paulo,SP
02998,-23.44062768720067,-46.72250811434592,são paulo,SP
02972,-23.48029674271453,-46.71122495337295,sao paulo,SP
03088,-23.52731184179699,-46.56137431473256,sao paulo,SP
03025,-23.53489030252754,-46.60945369747245,sao paulo,SP
03029,-23.528716250620374,-46.62026515958797,sao paulo,SP
03071,-23.533721612268447,-46.562341521640086,sao paulo,SP
03062,-23.54268733028447,-46.59453248320733,sao paulo,SP
03058,-23.540068922074838,-46.59345022487023,sao paulo,SP
03069,-23.535964728836067,-46.56487377462638,sao paulo,SP
03031,-23.52833381848348,-46.61941011172019,sao paulo,SP
03165,-23.561902561746255,-46.58015179808413,sao paulo,SP
03111,-23.558072306116813,-46.60586586856825,sao paulo,SP
03127,-23.57744523619365,-46.58928864723873,sao paulo,SP
03185,-23.56351781487679,-46.584379697472464,sao paulo,SP
03138,-23.587596922557612,-46.58181527338564,sao paulo,SP
03141,-23.590022776821186,-46.57065833812266,sao paulo,SP
03187,-23.566230979700467,-46.58020347785505,sao paulo,SP
03110,-23.556906147094494,-46.60849426977895,sao paulo,SP
03126,-23.58067325143878,-46.591568341608856,sao paulo,SP
03275,-23.586208449622042,-46.535891443101185,sao paulo,SP
03236,-23.594918280599003,-46.5541035925616,são paulo,SP
03273,-23.57841833611285,-46.5592068753823,sao paulo,SP
03237,-23.59539756425642,-46.55163738273989,são paulo,SP
03204,-23.597985520399334,-46.555472787119875,sao paulo,SP
03287,-23.59519232500434,-46.53381915834724,são paulo,SP
03386,-23.584168436997306,-46.530661361493515,são paulo,SP
03333,-23.556849999163273,-46.56941527477062,são paulo,SP
03334,-23.554597380692613,-46.57370400298258,sao paulo,SP
03378,-23.575139177299555,-46.54103782670819,sao paulo,SP
03370,-23.56799537246812,-46.55762524340702,sao paulo,SP
03426,-23.554079433810344,-46.53324185942636,sao paulo,SP
03470,-23.572820577298156,-46.523296403831715,sao paulo,SP
03431,-23.554133203993324,-46.53048959908248,sao paulo,SP
03471,-23.56625832001269,-46.51841724632121,sao paulo,SP
03513,-23.533151950603,-46.52395517943906,sao paulo,SP
03564,-23.53321650340715,-46.50046729003948,sao paulo,SP
